question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,correctness_method2,correctness_method2_mapped,correctness,RAGAS Context F1 Score
compare,0.9173953823953823,0.8121617197990417,0.902406575679779,4.0,80.0,20.0,
complex,0.942857142857143,0.8951020050048828,0.8581012558937072,4.36,88.0,44.0,
complex_situational,0.8667698412698412,0.7895915389060975,0.8468886542320252,4.44,92.0,52.0,
conversational,0.7357821067821068,0.4458855092525482,0.8811019825935363,4.2,76.0,36.0,
distracting element,0.8414574314574316,0.8688789820671081,0.8573314952850342,4.28,80.0,32.0,
double,0.9624729225023343,0.8350768733024597,0.898093695640564,4.32,92.0,28.000000000000004,
out of scope,,,0.6894482828321911,3.8095238095238093,61.904761904761905,71.42857142857143,
rule_conclusion,0.8884119352869352,0.8706217085321745,0.898280513783296,4.208333333333333,83.33333333333334,50.0,
simple,0.9064484126984128,0.8576291377345721,0.8805184538165728,4.25,83.33333333333334,29.166666666666668,
situational,0.8498620268620268,0.811026029586792,0.8542727422714234,4.28,88.0,52.0,
vague,0.9103896103896103,0.6922438192367554,0.8466661882400512,3.84,72.0,24.0,
Overall,0.8820617337280051,0.7872063799971535,0.8579596799545571,4.185873605947956,81.78438661710037,39.405204460966544,
