question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,correctness_method2,correctness_method2_mapped,correctness,RAGAS Context F1 Score
compare,0.8963995416348358,0.8335208010673523,0.8859927940368653,4.0,76.0,20.0,
complex,0.9596653346653347,0.883430814743042,0.8581111812591553,4.36,92.0,28.000000000000004,
complex_situational,0.8604016751364577,0.837464439868927,0.8333383464813232,4.36,92.0,52.0,
conversational,0.5212276612276612,0.4052113735675812,0.8379127478599548,3.64,60.0,8.0,
distracting element,0.8576340326340326,0.7929375433921814,0.8257363605499267,4.04,72.0,40.0,
double,0.9137283827283827,0.8075174045562744,0.8855062007904053,4.24,88.0,20.0,
out of scope,,,0.6841239815666562,3.6666666666666665,57.14285714285714,66.66666666666666,
rule_conclusion,0.8860380116959065,0.8821489587426186,0.887662244339784,3.9166666666666665,75.0,29.166666666666668,
simple,0.8354091510341511,0.8903630748391151,0.8861301243305206,4.25,83.33333333333334,41.66666666666667,
situational,0.8071260922985062,0.8043978500366211,0.8283019542694092,4.28,92.0,52.0,
vague,0.7921515151515152,0.6719313776493072,0.8296749234199524,3.8,64.0,36.0,
Overall,0.8327543862598368,0.7800426569677168,0.842200680957851,4.055762081784387,77.69516728624535,35.31598513011153,
