question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.891075937950938,0.8424027413129807,0.901029463325228,,4.071428571428571,85.71428571428571,53.57142857142857
complex,0.9396825396825397,0.7792145482131413,0.7543151697942189,,4.571428571428571,96.42857142857143,32.142857142857146
complex_situational,0.8308918207511198,0.7844443087066922,0.7521198477063861,,4.535714285714286,92.85714285714286,42.857142857142854
conversational,0.41221785815775586,0.42658112489658856,0.7256275557953379,,3.608695652173913,56.52173913043478,8.695652173913043
distracting element,0.7868153144956265,0.7263011071417067,0.7323303752475314,,4.074074074074074,77.77777777777779,14.814814814814813
double,0.9090519034741003,0.806375998717088,0.8090257896826818,,4.038461538461538,88.46153846153845,65.38461538461539
out of scope,,,0.5538571973641714,,3.6296296296296298,51.85185185185185,44.44444444444444
rule_conclusion,0.7930342345547025,0.6767691991947316,0.8174476645610951,,4.407407407407407,96.29629629629629,55.55555555555556
simple,0.8782661782661783,0.8960278401008019,0.7950944533714881,,4.461538461538462,92.3076923076923,38.46153846153847
situational,0.8499580157130896,0.8125125545042532,0.7856903583915146,,4.111111111111111,74.07407407407408,40.74074074074074
vague,0.5564006466784245,0.2342071952643218,0.5436517817002756,,2.185185185185185,14.814814814814813,0.0
Overall,0.7906558461669443,0.7025764866937859,0.7431835195645183,,3.979591836734694,75.51020408163265,36.394557823129254
