question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9020229215229216,0.7815037631988525,0.8832125687599182,,3.96,84.0,28.000000000000004
complex,0.9417101449275362,0.8926693749427795,0.867122118473053,,4.52,92.0,40.0
complex_situational,0.9321294752718902,0.8061545300483703,0.8384854197502136,,4.36,88.0,52.0
conversational,0.7668253968253969,0.43522839665412905,0.8836318850517273,,4.36,76.0,32.0
distracting element,0.9205555555555556,0.8240307736396789,0.8705267572402954,,4.44,88.0,40.0
double,0.9738888888888888,0.8199773740768432,0.8941281342506409,,4.4,92.0,24.0
out of scope,,,0.6932477823325566,,3.9047619047619047,52.38095238095239,71.42857142857143
rule_conclusion,0.8829059829059829,0.8058093264698982,0.9026890496412913,,4.041666666666667,75.0,37.5
simple,0.90625,0.8507211109002432,0.8856129546960195,,4.208333333333333,79.16666666666666,45.83333333333333
situational,0.8933333333333333,0.8428359818458557,0.8461216282844544,,4.24,80.0,52.0
vague,0.8511746031746031,0.723425213098526,0.8563456082344055,,4.28,84.0,24.0
Overall,0.8970998047469626,0.777832119695602,0.8586126562609548,,4.25278810408922,81.41263940520446,40.14869888475837
