question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9188181007895736,0.8204073842082705,0.9034716252769742,,4.035714285714286,89.28571428571429,57.14285714285714
complex,0.9008178271308523,0.7814085057803563,0.765270220381873,,4.678571428571429,100.0,35.714285714285715
complex_situational,0.8047278719457119,0.744640018258776,0.7434838031019483,,4.357142857142857,96.42857142857143,42.857142857142854
conversational,0.24413900363557112,0.3678176299385402,0.7368975657483806,,3.5652173913043477,56.52173913043478,0.0
distracting element,0.8475695528040442,0.6755325043642962,0.7331524138097409,,3.962962962962963,85.18518518518519,29.629629629629626
double,0.9033380319371032,0.7777122740562146,0.8122337322968703,,4.0,84.61538461538461,61.53846153846154
out of scope,,,0.5666011218671445,,3.814814814814815,59.25925925925925,62.96296296296296
rule_conclusion,0.7837256722522423,0.718879364154957,0.8202328085899353,,4.407407407407407,88.88888888888889,70.37037037037037
simple,0.9591469428007889,0.9235813984504113,0.814935734638801,,4.384615384615385,92.3076923076923,53.84615384615385
situational,0.8649150232483566,0.8714480576691804,0.7996235379466304,,4.2592592592592595,88.88888888888889,51.85185185185185
vague,0.6780798798342658,0.17371283857910721,0.5749540185486829,,2.3703703703703702,18.51851851851852,0.0
Overall,0.7986060909468379,0.690122363495916,0.7522129035320412,,3.993197278911565,78.57142857142857,42.857142857142854
